Amount,Component,Branch
0.00,audit_allowance,"BO BRANCH"
0.00,audit_allowance,"CHARLOTTE STREET BRANCH"
0.00,audit_allowance,"CLOCK TOWER BRANCH"
0.00,audit_allowance,"CONGO CROSS BRANCH"
0.00,audit_allowance,"HEAD OFFICE"
0.00,audit_allowance,"JUBA BRANCH"
0.00,audit_allowance,"KAILAHUN BRANCH"
0.00,audit_allowance,"KENEMA BRANCH"
0.00,audit_allowance,"MAKENI BRANCH"
0.00,audit_allowance,"PUJEHUN BRANCH"
0.00,audit_allowance,"SIAKA STEVENS STREET BRANCH"
0.00,audit_allowance,"WELLINGTON BRANCH"
0.00,audit_allowance,"WILBERFORCE STREET BRANCH"
0.00,audit_allowance,"WILKINSON ROAD BRANCH"
34460142.12,"Basic Salary","BO BRANCH"
120300004.64,"Basic Salary","CONGO CROSS BRANCH"
3662542074.58,"Basic Salary","HEAD OFFICE"
160256392.44,"Basic Salary","JUBA BRANCH"
189734134.40,"Basic Salary","KENEMA BRANCH"
150075303.12,"Basic Salary","KOIDU BRANCH"
29393651.20,"Basic Salary","MAKENI BRANCH"
39075490.00,"Basic Salary","MOYAMBA BRANCH"
31245949.18,"Basic Salary","PUJEHUN BRANCH"
1747499703.68,"Basic Salary","SIAKA STEVENS STREET BRANCH"
129301936.90,"Basic Salary","WELLINGTON BRANCH"
306945991.04,"Basic Salary","WILBERFORCE STREET BRANCH"
63131306.60,"Basic Salary","WILKINSON ROAD BRANCH"
30000.00,car_allowance,"BO BRANCH"
300000.00,car_allowance,"CHARLOTTE STREET BRANCH"
1590000.00,car_allowance,"CLOCK TOWER BRANCH"
210000.00,car_allowance,"CONGO CROSS BRANCH"
3570000.00,car_allowance,"HEAD OFFICE"
510000.00,car_allowance,"JUBA BRANCH"
1350000.00,car_allowance,"KAILAHUN BRANCH"
0.00,car_allowance,"KENEMA BRANCH"
360000.00,car_allowance,"MAKENI BRANCH"
780000.00,car_allowance,"PUJEHUN BRANCH"
1860000.00,car_allowance,"SIAKA STEVENS STREET BRANCH"
90000.00,car_allowance,"WELLINGTON BRANCH"
210000.00,car_allowance,"WILBERFORCE STREET BRANCH"
390000.00,car_allowance,"WILKINSON ROAD BRANCH"
0.00,"Displacement Allowance","BO BRANCH"
395732.02,"Displacement Allowance","CHARLOTTE STREET BRANCH"
16000709.94,"Displacement Allowance","CLOCK TOWER BRANCH"
395732.02,"Displacement Allowance","CONGO CROSS BRANCH"
22811584.04,"Displacement Allowance","HEAD OFFICE"
6207270.54,"Displacement Allowance","JUBA BRANCH"
6832382.74,"Displacement Allowance","KAILAHUN BRANCH"
1539822.16,"Displacement Allowance","KENEMA BRANCH"
5143476.28,"Displacement Allowance","MAKENI BRANCH"
4412352.48,"Displacement Allowance","PUJEHUN BRANCH"
14404926.34,"Displacement Allowance","SIAKA STEVENS STREET BRANCH"
0.00,"Displacement Allowance","WELLINGTON BRANCH"
0.00,"Displacement Allowance","WILBERFORCE STREET BRANCH"
0.00,"Displacement Allowance","WILKINSON ROAD BRANCH"
0.00,"Duty Allowance","BO BRANCH"
0.00,"Duty Allowance","CHARLOTTE STREET BRANCH"
831467.52,"Duty Allowance","CLOCK TOWER BRANCH"
0.00,"Duty Allowance","CONGO CROSS BRANCH"
2531439.96,"Duty Allowance","HEAD OFFICE"
