PAYROLL,COMPONENT,GL,BRANCH,AMOUNT(SLL)
"January 2022 Salary - Permanent Staff","Audit Allowance",143000000012,"HEAD OFFICE",0.00
"January 2022 Salary - Permanent Staff","Audit Allowance",143000000012,"SIAKA STEVENS STREET BRANCH",0.00
"January 2022 Salary - Permanent Staff","Audit Allowance",143000000012,"CLOCK TOWER BRANCH",0.00
"January 2022 Salary - Permanent Staff","Audit Allowance",143000000012,"BO BRANCH",0.00
"January 2022 Salary - Permanent Staff","Audit Allowance",143000000012,"KENEMA BRANCH",0.00
"January 2022 Salary - Permanent Staff","Audit Allowance",143000000012,"WELLINGTON BRANCH",0.00
"January 2022 Salary - Permanent Staff","Audit Allowance",143000000012,"WILBERFORCE STREET BRANCH",0.00
"January 2022 Salary - Permanent Staff","Audit Allowance",143000000012,"KOIDU BRANCH",0.00
"January 2022 Salary - Permanent Staff","Audit Allowance",143000000012,"MOYAMBA BRANCH",0.00
"January 2022 Salary - Permanent Staff","Audit Allowance",143000000012,"PUJEHUN BRANCH",0.00
"January 2022 Salary - Permanent Staff","Audit Allowance",143000000012,"CONGO CROSS BRANCH",0.00
"January 2022 Salary - Permanent Staff","Audit Allowance",143000000012,"MAKENI BRANCH",0.00
"January 2022 Salary - Permanent Staff","Audit Allowance",143000000012,"CHARLOTTE STREET BRANCH",0.00
"January 2022 Salary - Permanent Staff","Audit Allowance",143000000012,"KABALA BRANCH",0.00
"January 2022 Salary - Permanent Staff","Audit Allowance",143000000012,"KAILAHUN BRANCH",0.00
"January 2022 Salary - Permanent Staff","Audit Allowance",143000000012,"WILKINSON ROAD BRANCH",0.00
"January 2022 Salary - Permanent Staff","Audit Allowance",143000000012,"JUBA BRANCH",0.00
"January 2022 Salary - Permanent Staff","Basic Salary",143000000009,"HEAD OFFICE",3204514096.48
"January 2022 Salary - Permanent Staff","Basic Salary",143000000009,"SIAKA STEVENS STREET BRANCH",1110328979.48
"January 2022 Salary - Permanent Staff","Basic Salary",143000000009,"CLOCK TOWER BRANCH",148821352.88
"January 2022 Salary - Permanent Staff","Basic Salary",143000000009,"BO BRANCH",359966257.42
"January 2022 Salary - Permanent Staff","Basic Salary",143000000009,"KENEMA BRANCH",148608623.12
"January 2022 Salary - Permanent Staff","Basic Salary",143000000009,"WELLINGTON BRANCH",166336734.26
"January 2022 Salary - Permanent Staff","Basic Salary",143000000009,"WILBERFORCE STREET BRANCH",129551565.16
"January 2022 Salary - Permanent Staff","Basic Salary",143000000009,"KOIDU BRANCH",119465852.48
"January 2022 Salary - Permanent Staff","Basic Salary",143000000009,"MOYAMBA BRANCH",69169160.34
"January 2022 Salary - Permanent Staff","Basic Salary",143000000009,"PUJEHUN BRANCH",98369988.68
"January 2022 Salary - Permanent Staff","Basic Salary",143000000009,"CONGO CROSS BRANCH",370338812.76
"January 2022 Salary - Permanent Staff","Basic Salary",143000000009,"MAKENI BRANCH",148358408.50
"January 2022 Salary - Permanent Staff","Basic Salary",143000000009,"CHARLOTTE STREET BRANCH",158226444.62
"January 2022 Salary - Permanent Staff","Basic Salary",143000000009,"KABALA BRANCH",77666389.10
"January 2022 Salary - Permanent Staff","Basic Salary",143000000009,"KAILAHUN BRANCH",60950225.38
"January 2022 Salary - Permanent Staff","Basic Salary",143000000009,"WILKINSON ROAD BRANCH",94449230.24
"January 2022 Salary - Permanent Staff","Basic Salary",143000000009,"JUBA BRANCH",198839959.00
"January 2022 Salary - Permanent Staff","Car Allowance",143000000012,"HEAD OFFICE",91378917.56
"January 2022 Salary - Permanent Staff","Car Allowance",143000000012,"SIAKA STEVENS STREET BRANCH",6527065.54
"January 2022 Salary - Permanent Staff","Car Allowance",143000000012,"CLOCK TOWER BRANCH",6527065.54
"January 2022 Salary - Permanent Staff","Car Allowance",143000000012,"BO BRANCH",0.00
"January 2022 Salary - Permanent Staff","Car Allowance",143000000012,"KENEMA BRANCH",0.00
"January 2022 Salary - Permanent Staff","Car Allowance",143000000012,"WELLINGTON BRANCH",0.00
"January 2022 Salary - Permanent Staff","Car Allowance",143000000012,"WILBERFORCE STREET BRANCH",0.00
"January 2022 Salary - Permanent Staff","Car Allowance",143000000012,"KOIDU BRANCH",6290303.26
"January 2022 Salary - Permanent Staff","Car Allowance",143000000012,"MOYAMBA BRANCH",0.00
"January 2022 Salary - Permanent Staff","Car Allowance",143000000012,"PUJEHUN BRANCH",0.00
"January 2022 Salary - Permanent Staff","Car Allowance",143000000012,"CONGO CROSS BRANCH",6527065.54
"January 2022 Salary - Permanent Staff","Car Allowance",143000000012,"MAKENI BRANCH",0.00
"January 2022 Salary - Permanent Staff","Car Allowance",143000000012,"CHARLOTTE STREET BRANCH",6527065.54
"January 2022 Salary - Permanent Staff","Car Allowance",143000000012,"KABALA BRANCH",0.00
"January 2022 Salary - Permanent Staff","Car Allowance",143000000012,"KAILAHUN BRANCH",0.00
"January 2022 Salary - Permanent Staff","Car Allowance",143000000012,"WILKINSON ROAD BRANCH",0.00
"January 2022 Salary - Permanent Staff","Car Allowance",143000000012,"JUBA BRANCH",6527065.54
"January 2022 Salary - Permanent Staff","Displacement Allowance",143000000012,"HEAD OFFICE",0.00
"January 2022 Salary - Permanent Staff","Displacement Allowance",143000000012,"SIAKA STEVENS STREET BRANCH",0.00
"January 2022 Salary - Permanent Staff","Displacement Allowance",143000000012,"CLOCK TOWER BRANCH",0.00
"January 2022 Salary - Permanent Staff","Displacement Allowance",143000000012,"BO BRANCH",15884152.56
"January 2022 Salary - Permanent Staff","Displacement Allowance",143000000012,"KENEMA BRANCH",9646714.74
